,player_name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,is_new_player,total_points_sum,total_points_mean,non_zero_gw_count,total_points_non_zero_sum,total_points_non_zero_mean,price,position,DC_points,first_10_mean,first_5_mean
424,Cole Palmer,Chelsea,6.0,8.0,10.0,1.0,3.0,25.0,10.0,3.0,2.6666666666666665,18.0,2.0,3.6666666666666665,2.0,3.6666666666666665,3.0,3.0,2.0,14.0,10.0,2.0,2.0,3.0,10.0,6.0,17.0,2.6666666666666665,2.6666666666666665,0.0,2.0,10.0,3.0,2.0,2.0,2.0,6.0,2.0,6.0,3.6666666666666665,False,213.99999999999997,5.63157894736842,37,213.99999999999997,5.783783783783783,10.5,Midfielder,,8.666666666666668,5.6
132,Alexander Isak,Newcastle,2.0,11.0,10.666666666666666,16.0,2.0,9.0,13.0,9.0,2.0,2.0,8.0,6.176470588235294,6.176470588235294,9.0,7.333333333333333,10.666666666666666,2.0,7.0,10.666666666666666,5.0,7.333333333333333,1.0,8.0,6.176470588235294,8.0,7.0,2.0,2.0,5.0,6.0,7.333333333333333,1.0,2.0,6.176470588235294,2.0,11.0,2.0,2.0,False,210.0,5.526315789473684,34,210.0,6.176470588235294,10.5,Forward,,7.666666666666666,8.333333333333332
557,Bruno Borges Fernandes,Man Utd,9.0,3.0,10.333333333333334,9.0,10.0,0.0,10.333333333333334,7.0,8.0,2.0,2.0,9.0,3.0,2.0,-2.0,2.0,3.0,0.0,1.0,8.0,8.0,3.0,2.0,3.0,-2.0,2.0,10.0,1.0,2.0,7.0,4.0,10.333333333333334,1.0,5.0,2.0,8.0,9.0,2.0,False,174.0,4.578947368421052,36,174.0,4.833333333333333,9.0,Midfielder,,6.866666666666667,8.266666666666667
15,Mohamed Salah,Liverpool,6.0,18.0,2.0,10.0,3.0,3.0,2.0,7.0,3.0,14.0,14.0,2.0,16.0,10.666666666666666,10.0,9.0,21.0,8.0,10.666666666666666,2.0,10.0,10.666666666666666,16.0,6.0,13.0,10.0,2.0,6.0,10.0,8.0,2.0,5.0,16.0,10.0,17.0,12.0,8.0,10.0,False,343.0,9.026315789473685,38,343.0,9.026315789473685,14.5,Midfielder,,6.8,7.8
538,Bryan Mbeumo,Man Utd,7.0,3.0,10.333333333333334,2.0,3.0,6.361111111111111,10.333333333333334,1.0,18.0,2.0,8.0,5.0,7.0,9.0,8.0,5.0,2.0,13.0,8.0,13.0,13.0,2.0,2.0,5.0,2.0,3.0,3.0,9.0,8.0,2.0,6.0,10.333333333333334,9.0,6.361111111111111,2.0,13.0,2.0,3.0,False,229.0,6.361111111111111,36,229.0,6.361111111111111,8.0,Midfielder,,6.302777777777778,5.066666666666667
558,Matheus Santos Carneiro da Cunha,Man Utd,2.0,16.0,4.346153846153846,2.0,6.0,9.0,4.346153846153846,9.0,4.346153846153846,2.0,1.0,4.346153846153846,1.0,4.346153846153846,4.346153846153846,2.0,8.0,2.0,4.346153846153846,4.346153846153846,4.346153846153846,2.0,1.0,2.0,7.0,1.0,2.0,6.0,1.0,7.0,9.0,4.346153846153846,2.0,2.0,2.0,4.346153846153846,4.346153846153846,9.0,False,113.0,3.7666666666666666,26,113.0,4.346153846153846,8.0,Midfielder,,5.903846153846154,6.069230769230769
520,Kevin Schade,Brentford,8.0,2.0,7.333333333333333,3.0,1.0,14.0,1.0,9.0,1.0,11.0,6.0,3.0,10.0,1.0,1.0,10.0,2.0,0.0,2.0,1.0,10.0,3.0,2.0,5.0,2.0,1.0,2.0,7.333333333333333,2.0,2.0,7.333333333333333,3.0,2.0,2.0,1.0,1.0,2.0,1.0,False,149.0,3.9210526315789473,37,149.0,4.027027027027027,7.0,Midfielder,,5.7333333333333325,4.266666666666667
101,Ollie Watkins,Aston Villa,12.0,9.0,7.0,8.0,7.666666666666667,2.0,4.5,2.0,1.0,2.0,2.0,7.666666666666667,6.0,0.0,2.0,2.0,2.0,2.0,8.0,2.0,5.0,13.0,1.0,12.0,9.0,12.0,4.5,1.0,2.0,2.0,5.0,1.0,4.5,8.0,5.0,7.666666666666667,8.0,12.0,False,201.5,5.302631578947368,37,201.5,5.445945945945946,9.0,Forward,,5.516666666666667,8.733333333333333
7,Virgil van Dijk,Liverpool,6.0,1.0,1.0,4.666666666666667,8.0,8.0,6.0,1.0,6.0,6.0,6.0,2.0,6.0,2.0,4.666666666666667,5.0,1.0,1.0,2.0,1.0,7.0,2.0,5.0,7.0,6.0,4.666666666666667,2.0,9.0,2.0,2.0,0.0,1.0,5.0,1.0,5.0,2.0,1.0,7.0,False,147.0,3.8684210526315788,37,147.0,3.972972972972973,6.0,Defender,22.0,5.345614035087721,4.712280701754386
507,Nathan Collins,Brentford,11.0,1.0,6.666666666666667,7.0,1.0,1.0,1.0,8.0,1.0,7.0,7.0,6.0,3.6666666666666665,6.0,1.0,3.6666666666666665,2.0,1.0,1.0,6.0,3.6666666666666665,1.0,1.0,0.0,1.0,1.0,0.0,6.666666666666667,2.0,10.0,6.666666666666667,1.0,1.0,1.0,2.0,0.0,6.0,1.0,False,127.00000000000001,3.342105263157895,35,127.0,3.6285714285714286,5.0,Defender,32.0,5.3087719298245615,6.175438596491229
